Time,X,Y,Theta,DistHuman
0.352,10.0,10.0,-4.440892098500626e-16,7.862168911947898
0.384,10.0,10.0,-8.881784197001252e-16,7.862168911947898
0.41600000000000004,10.001009896097457,9.998338796268218,0.0002524063994521821,7.861387710717598
0.448,10.001009896097457,9.998338796268218,0.0002524063994521821,7.861387710717598
0.48,10.001009896097457,9.998338796268218,0.000252406399451738,7.861387710717598
0.512,10.001009896097457,9.998338796268218,0.00025240639945129387,7.861387710717598
0.544,10.001009896097457,9.998338796268218,0.0002524063994508498,7.861387710717598
0.5760000000000001,10.001009896097457,9.998338796268218,0.0002524063994504057,7.861387710717598
0.608,10.001009896097457,9.998338796268218,0.0002524063994499616,7.861387710717598
0.64,10.001009896097457,9.998338796268218,0.0002524063994490734,7.861387710717598
0.672,10.001009896097457,9.998338796268218,0.0002524063901436281,7.861387710717598
0.704,10.001009896097457,9.998338796268218,0.00025240639012586455,7.861387710717598
0.736,10.001009896097457,9.998338796268218,0.0002524063901112096,7.861387710717598
0.768,10.001009896097457,9.998338796268218,0.00025240639009966323,7.861387710717598
0.8,10.001009896097457,9.998338796268218,0.0002524063900903374,7.861387710717598
0.8320000000000001,10.001009896097457,9.998338796268218,0.0002524063900827879,7.861387710717598
0.864,10.001009896097457,9.998338796268218,0.00025240639007701474,7.861387710717598
0.896,10.001009896097457,9.998338796268218,0.00025240639007168567,7.861387710717598
0.928,10.001009896097457,9.998338796268218,0.00025240639006768886,7.861387710717598
0.96,10.001009896097457,9.998338796268218,0.00025240639006413615,7.861387710717598
0.992,10.001009896097457,9.998338796268218,0.0002524063900614716,7.861387710717598
1.024,10.001009896097457,9.998338796268218,0.00025240639005925117,7.861387710717598
1.056,10.001009896097457,9.998338796268218,0.0002524063900579189,7.861387710717598
1.088,10.001009896097457,9.998338796268218,0.00025240639005658663,7.861387710717598
1.12,10.001009896097457,9.998338796268218,0.00025240639005569846,7.861387710717598
1.1520000000000001,10.001009896097457,9.998338796268218,0.0002524063900548103,7.861387710717598
1.184,10.001009896097457,9.998338796268218,0.00025240639005392215,7.861387710717598
1.216,10.001009896097457,9.998338796268218,0.000252406390053478,7.861387710717598
1.248,10.001009896097457,9.998338796268218,0.0002524063900530339,7.861387710717598
1.28,10.001009896097457,9.998338796268218,0.00025240639005258983,7.861387710717598
1.312,10.001009896097457,9.998338796268218,0.00025240639005214574,7.861387710717598
1.344,10.001009896097457,9.998338796268218,0.00025240639005214574,7.861387710717598
1.3760000000000001,10.001009896097457,9.998338796268218,0.00025240639005170165,7.861387710717598
1.408,10.001009896097457,9.998338796268218,0.00025240639005170165,7.861387710717598
1.44,10.001009896097457,9.998338796268218,0.00025240639005125756,7.861387710717598
1.472,10.001009896097457,9.998338796268218,0.00025240639005125756,7.861387710717598
1.504,10.001009896097457,9.998338796268218,0.0002524063900508135,7.861387710717598
1.536,10.001009896097457,9.998338796268218,0.0002524063900508135,7.861387710717598
1.568,10.001009896097457,9.998338796268218,0.0002524063900508135,7.861387710717598
1.6,10.001009896097457,9.998338796268218,0.0002524063900508135,7.861387710717598
1.6320000000000001,10.001009896097457,9.998338796268218,0.00025240639005036933,7.861387710717598
1.6640000000000001,10.005658543927348,9.999039553920738,0.0024167753205769148,7.86462983631778
1.696,10.005658543927348,9.999039553920738,0.0024167753205769148,7.86462983631778
1.728,10.005658543927348,9.999039553920738,0.0024167753205769148,7.86462983631778
1.76,10.005658543927348,9.999039553920738,0.0024167753205769148,7.86462983631778
1.792,10.005658543927348,9.999039553920738,0.0024167753205769148,7.86462983631778
1.824,10.005658543927348,9.999039553920738,0.0024167753205769148,7.86462983631778
1.856,10.005658543927348,9.999039553920738,0.0024167753205769148,7.86462983631778
1.8880000000000001,10.005658543927348,9.999039553920738,0.0024167753205769148,7.86462983631778
1.92,10.005658543927348,9.999039553920738,0.0024167753205769148,7.86462983631778
1.952,10.005658543927348,9.999039553920738,0.0024167753205769148,7.86462983631778
1.984,10.005658543927348,9.999039553920738,0.0024167753205769148,7.86462983631778
2.016,10.005658543927348,9.999039553920738,0.0024167753205769148,7.86462983631778
2.048,10.005658543927348,9.999039553920738,0.0024167753205769148,7.86462983631778
2.08,10.005658543927348,9.999039553920738,0.0024167753205769148,7.86462983631778
2.112,10.005658543927348,9.999039553920738,0.0024167753205769148,7.86462983631778
2.144,10.005658543927348,9.999039553920738,0.0024167753205769148,7.86462983631778
2.176,10.005658543927348,9.999039553920738,0.0024167753205769148,7.86462983631778
2.208,10.005658543927348,9.999039553920738,0.0024167753205769148,7.86462983631778
2.24,10.005658543927348,9.999039553920738,0.0024167753205764707,7.86462983631778
2.2720000000000002,10.005658543927348,9.999039553920738,0.0024167753205769148,7.86462983631778
2.3040000000000003,10.005658543927348,9.999039553920738,0.0024167753205769148,7.86462983631778
2.336,10.005658543927348,9.999039553920738,0.0024167753205769148,7.86462983631778
2.368,10.005658543927348,9.999039553920738,0.0024167753205764707,7.86462983631778
2.4,10.005658543927348,9.999039553920738,0.0024167753205764707,7.86462983631778
2.432,10.005658543927348,9.999039553920738,0.0024167753205764707,7.86462983631778
2.464,10.005658543927348,9.999039553920738,0.0024167753205764707,7.86462983631778
2.496,10.005658543927348,9.999039553920738,0.0024167753205764707,7.86462983631778
2.528,10.005658543927348,9.999039553920738,0.0024167753205764707,7.86462983631778
2.56,10.008694014477964,9.997683103508352,0.0023439450007763088,7.865262826992873
2.592,10.021693978766473,9.997713574765461,-0.0039110428279662554,7.872763580084683
2.624,10.036693864044699,9.997654909272601,-0.007743471443818458,7.881359389358116
